,News,Classification
607,The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln  of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .,neutral
608,Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 .,neutral
609,The wireless industry is bracing itself for the iPhone  which will launch on June 29 .,neutral
610,We are honored to be acknowledged for our commitment to the industry  especially in Asia Pacific . '',positive
611,The customer is cooperative retailer Osuuskauppa Suur-Savo .,neutral
612,In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400000 versus a net profit of EUR 200000 for the corresponding period of fiscal 2007 .,negative
613,For example  net sales increased by 5.9 % from the first quarter  and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .,positive
614,The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,neutral
615,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,neutral
616,The company 's scheduled traffic  measured in revenue passenger kilometres RPK  grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .,positive
617,The OMX Helsinki 25 ended 0.47 pct lower at 3150.55 and the OMX Helsinki was down 0.21 pct at 10736.42 on 1.523 bln eur turnover .,negative
618,SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative
619,Erkki Jarvinen  President of Rautakirja and the head of the Sanoma Trade division  will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .,neutral
620,The order is a follow-on to an 11 mln euro ( $ 16.1 mln ) deal made in July 2007 .,neutral
621,SRV will also build an aqua park with wellness area  a restaurant and a multifunctional ice arena .,neutral
622,The negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,neutral
623,- Inge Larsen (CFO) 29045 shares  representing 0.50 % of the share capital .,neutral
624,N-Viro operates processing facilities independently as well as in partnership with municipalities .,neutral
625,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive
626,The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral
627,Turun kaupunkin  Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .,positive
628,FinancialWire tm is not a press release service  and receives no compensation for its news  opinions or distributions .,neutral
629,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive
630,The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral
631,The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21  2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .,neutral
632,Several large stocks tacked lower  however .,negative
633,Currently  the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700000 USD 934000  compared with previous projections of a slightly better pre-tax profit .,negative
634,The rebuilds are designed to improve the machines ' performance and product quality .,positive
635,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,positive
636,Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral
637,In his current position  Manty has worked since 1996 .,neutral
638,Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,positive
639,EBITDA for the year 2009 improved to EUR484m  as compared with EUR472m in 2008 .,positive
640,The Marubeni Group focuses on creating `` value chain '' from upstream to downstream  encompassing a wide variety of business fields  including oil & gas  metals  mineral resources  foods  pulp & paper and chemicals  among others .,neutral
641,Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral
642,The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,neutral
643,On 20 March 2006  Stora Enso refused to comment the news in any way .,neutral
644,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive
645,In the spring 2006  a total of 386530 Stock Options 2002 B were annulled .,neutral
646,Orders received grew by 55 % year-on-year to EUR732m .,positive
647,Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .,neutral
648,Outotec 's delivery covers the engineering  supply and construction of a circulating fluid bed calcination plant with a capacity of 1600 tons of alumina per day .,neutral
649,The passenger tunnel is expected to be put into operation in 2009 .,neutral
650,The customer is then forwarded to the site  and unknown to him logged in with the first number .,neutral
651,The total value of the contract is some EUR 8 million .,neutral
652,By the end of 2006  the number of joint branch offices will total 170 .,neutral
653,The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,neutral
654,Enclosed is Affecto 's call for Extraordinary General Meeting to be held on July 10th where the main agenda is to approve the authorization to the Board for the proposed share issue related to the Component Software acquisition  and to elect Haakon Skaarer to the Affecto board .,neutral
655,Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba  Emirate of Fujairah  UAE .,positive
656,After the sale  Outokumpu 's share of the technology unit will be reduced to some 12-20 percent .,neutral
657,Operating profit totalled EUR 9.0 mn  down from EUR 9.7 mn in the first half of 2008 .,negative
658,Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m  CEO Sakari Tamminen said .,positive
659,However  the offering will probably not be made at the current valuation  which partly derives from the deal in which the company was merged into a stock market shell .,neutral
660,Radiation and today is a full service house expert in radiation and nuclear safety issues .,neutral
661,The company says the measures are no longer needed .,neutral
662,The company said it estimates to make a slight profit thanks to cost-cutting measures .,positive
663,In 2007 Etteplan reported a turnover of EUR125 .2 m.,neutral
664,128538 shares can still be subscribed for with Series E share options  max .,neutral
665,Both operating profit and turnover for the three-month period increased  respectively from EUR0 .9 m and EUR8 .3 m  as compared to the corresponding period in 2005 .,positive
666,Oka specialises in new construction  renovation work of residential and non-residential building as well as premises for industrial and logistical use .,neutral
667,Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,neutral
668,Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral
669,Mr. McDonald started the evening with his own set  featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results .,neutral
670,Investors will continue being interested in the company 's share although it is not quite cheap  Affarsvarlden said .,positive
